Дата,Группа аллергенов,Пыльца и споры,"Концентрация, ед/1 м3",Комментарий
05.06.12,Лиственные деревья,Ольха,30.24,концентрация средняя
05.06.12,Лиственные деревья,Тополь,0.84,концентрация единичная
05.06.12,Лиственные деревья,Береза,94.5,концентрация низкая
05.06.12,Лиственные деревья,Клен,4.2,концентрация единичная
05.06.12,Хвойные деревья,Ель,13.44,концентрация низкая
05.06.12,Хвойные деревья,Сосна,10.92,концентрация низкая
05.06.12,Грибы,Кладоспориум,207,концентрация низкая
04.06.12,Лиственные деревья,Ольха,7.56,концентрация низкая
04.06.12,Лиственные деревья,Береза,22.68,концентрация низкая
04.06.12,Хвойные деревья,Ель,0.84,концентрация единичная
04.06.12,Хвойные деревья,Сосна,0.84,концентация единичная
04.06.12,Грибы,Кладоспориум,471.5,концентация низкая
04.06.12,Грибы,Альтернария,23,концентрация единичная
03.06.12,Лиственные деревья,Ольха,6.72,концентрация низкая
03.06.12,Лиственные деревья,Береза,32.76,концентрация низкая
03.06.12,Лиственные деревья,Клен,0.84,концентрация единичная
03.06.12,Лиственные деревья,Ива,0.84,концентрация единичная
03.06.12,Хвойные деревья,Ель,0.84,концентрация единичная
03.06.12,Грибы,Кладоспориум,368,концентрация низкая
03.06.12,Грибы,Альтернария,34.5,концентрация единичная
02.06.12,Лиственные деревья,Ольха,5.04,концентрация низкая
02.06.12,Лиственные деревья,Береза,21,концентрация низкая
02.06.12,Лиственные деревья,Клен,1.68,концентрация единичная
02.06.12,Лиственные деревья,Ива,0.84,концентрация единичная
02.06.12,Хвойные деревья,Ель,0.84,концентрация единичная
02.06.12,Грибы,Кладоспориум,218.5,концентрация низкая
02.06.12,Грибы,Альтернария,23,концентрация единичная
01.06.12,Лиственные деревья,Ольха,0.84,концентрация единичная
01.06.12,Лиственные деревья,Береза,15.2,концентрация низкая
01.06.12,Лиственные деревья,Клен,0.84,концентрация единичная
01.06.12,Лиственные деревья,Ива,0.84,концентрация единичная
01.06.12,Хвойные деревья,Ель,9.24,концентрация низкая
01.06.12,Хвойные деревья,Сосна,8.4,концентрация низкая
01.06.12,Грибы,Кладоспориум,11.5,концентрация единичная
31.05.12,Лиственные деревья,Береза,0.84,концентрация единичная
31.05.12,Хвойные деревья,Ель,0.84,концентрация единичная
30.05.12,Хвойные деревья,Ель,0.84,концентрация единичная
29.05.12,Лиственные деревья,Береза,0.84,концентрация единичная
28.05.12,Лиственные деревья,Береза,0.84,концентрация единичная
26.05.12,Лиственные деревья,Береза,7.56,концентрация низкая
26.05.12,Лиственные деревья,Ива,4.2,концентрация низкая
26.05.12,Хвойные деревья,Ель,8.4,концентрация низкая
25.05.12,Лиственные деревья,Береза,0.84,концентрация единичная
25.05.12,Хвойные деревья,Сосна,0.84,концентрация единичная
24.05.12,Лиственные деревья,Береза,1.68,концентрация единичная
23.05.12,Лиственные деревья,Ольха,0.84,концентрация единичная
23.05.12,Лиственные деревья,Береза,3.36,концентрация единичная
23.05.12,Хвойные деревья,Ель,3.36,концентрация единичная
22.05.12,Лиственные деревья,Ива,0.84,концентрация единичная
22.05.12,Лиственные деревья,Дуб,0.84,концентрация единичная
22.05.12,Хвойные деревья,Ель,3.36,концентрация единичная
21.05.12,Лиственные деревья,Береза,2.52,концентрация единичная
19.05.12,Лиственные деревья,Береза,0.84,концентрация единичная
18.05.12,Лиственные деревья,Ольха,1.68,концентрация единичная
18.05.12,Лиственные деревья,Тополь,4.2,концентрация низкая
18.05.12,Лиственные деревья,Береза,63,концентрация низкая
18.05.12,Лиственные деревья,Клен,10.08,концентрация низкая
18.05.12,Лиственные деревья,Ива,0.84,концентрация единичная
17.05.12,Лиственные деревья,Ольха,5.88,концентрация низкая
17.05.12,Лиственные деревья,Береза,101.64,концентрация низкая
17.05.12,Лиственные деревья,Клен,8.4,концентрация низкая
17.05.12,Лиственные деревья,Дуб,2.52,концентрация единичная
17.05.12,Хвойные деревья,Сосна,0.84,концентрация единичная
16.05.12,Лиственные деревья,Береза,37.8,концентрация низкая
16.05.12,Лиственные деревья,Клен,1.68,концентрация единичная
15.05.12,Лиственные деревья,Тополь,3.36,концентрация единичная
15.05.12,Лиственные деревья,Береза,58.8,концентрация низкая
15.05.12,Лиственные деревья,Клен,0.84,концентрация единичная
14.05.12,Лиственные деревья,Ольха,0.84,концентрация единичная
14.05.12,Лиственные деревья,Тополь,13.44,концентрация средняя
14.05.12,Лиственные деревья,Береза,136.92,концентрация низкая
14.05.12,Лиственные деревья,Клен,15.5,концентрация ниже средней
14.05.12,Лиственные деревья,Ива,1.68,концентрация единичная
14.05.12,Грибы,Кладоспориум,11.5,концентрация единичная
14.05.12,Грибы,Альтернария,11.5,концентрация единичная
13.05.12,Лиственные деревья,Ольха,4.2,концентрация нтзкая
13.05.12,Лиственные деревья,Тополь,17.4,концентрация средняя
13.05.12,Лиственные деревья,Береза,126,концентрация низкая
13.05.12,Лиственные деревья,Ива,4.2,концентрация низкая
13.05.12,Хвойные деревья,Сосна,0.84,концентрация единичная
12.05.12,Лиственные деревья,Тополь,5.2,концентрация низкая
12.05.12,Лиственные деревья,Береза,6.72,концентрация низкая
12.05.12,Лиственные деревья,Клен,1.68,концентрация единичная
11.05.12,Лиственные деревья,Ольха,0.84,концентрация единичная
11.05.12,Лиственные деревья,Тополь,8.4,концентрация низкая
11.05.12,Лиственные деревья,Береза,51.24,концентрация низкая
11.05.12,Лиственные деревья,Клен,9.24,концентрация низкая
10.05.12,Лиственные деревья,Тополь,7.56,концентрация низкая
10.05.12,Лиственные деревья,Береза,28.56,концентрация низкая
10.05.12,Лиственные деревья,Клен,4.2,концентрация низкая
09.05.12,Лиственные деревья,Тополь,4.2,концентрация низкая
09.05.12,Лиственные деревья,Береза,2.52,концентрация единичная
09.05.12,Лиственные деревья,Клен,2.52,концентрация единичная
08.05.12,Лиственные деревья,Ольха,4.2,концентрация низкая
08.05.12,Лиственные деревья,Тополь,14.28,концентрация средняя
08.05.12,Лиственные деревья,Береза,21.84,концентрация низкая
08.05.12,Лиственные деревья,Клен,1.68,концентрация единичная
08.05.12,Лиственные деревья,Ива,5.88,концентрация низкая
08.05.12,Хвойные деревья,Сосна,0.84,концентрация единичная
07.05.12,Лиственные деревья,Ольха,1.68,концентрация единичная
07.05.12,Лиственные деревья,Тополь,4.2,концентрация низкая
06.05.12,Лиственные деревья,Ольха,0.84,концентрация единичная
06.05.12,Лиственные деревья,Тополь,7.56,концентрация низкая
06.05.12,Лиственные деревья,Береза,1.68,концентрация единичная
06.05.12,Лиственные деревья,Ива,2.52,концентрация единичная
30.08.11,Сорняки,Полынь,0.84,концентрация единичная
30.08.11,Грибы,Кладоспориум,23,концентрация единичная
29.08.11,Сорняки,Крапива,0.84,концентрация единичная
28.08.11,Сорняки,Полынь,0.84,концентрация единичная
28.08.11,Грибы,Кладоспориум,11.5,концентрация единичная
26.08.11,Грибы,Кладоспориум,230,концентрация низкая
25.08.11,Сорняки,Полынь,0.84,концентрация единичная
22.08.11,Сорняки,Полынь,0.84,концентрация единичная
22.08.11,Грибы,Кладоспориум,23,концентрация единичная
22.08.11,Грибы,Альтернария,11.5,концентрация единичная
21.08.11,Сорняки,Маревые,2.52,концентрация единичная
21.08.11,Сорняки,Полынь,3.36,концентрация единичная
21.08.11,Грибы,Кладоспориум,69,концентрация единичная
20.08.11,Сорняки,Полынь,2.52,концентрация единичная
20.08.11,Грибы,Кладоспориум,69,концентрация единичная
19.08.11,Сорняки,Крапива,0.84,концентрация единичная
19.08.11,Сорняки,Полынь,1.68,концентрация единичная
19.08.11,Грибы,Кладоспориум,11.5,концентрация единичная
18.08.11,Грибы,Кладоспориум,11.5,концентрация единичная
17.08.11,Сорняки,Полынь,1.68,концентрация единичная
16.08.11,Сорняки,Полынь,0.84,концентрация единичная
16.08.11,Грибы,Кладоспориум,69,концентрация единичная
16.08.11,Грибы,Альтернария,11.5,концентрация единичная
15.08.11,Сорняки,Полынь,0.84,концентрация единичная
15.08.11,Грибы,Кладоспориум,218.5,концентрация низкая
15.08.11,Грибы,Альтернария,23,концентрация единичная
14.08.11,Сорняки,Полынь,7.56,концентрация единичная
14.08.11,Грибы,Кладоспориум,46,концентрация единичная
13.08.11,Сорняки,Полынь,0.84,концентрация единичная
13.08.11,Грибы,Кладоспориум,149.5,концентрация единичная
12.08.11,Сорняки,Маревые,0.84,концентрация единичная
12.08.11,Сорняки,Полынь,1.68,концентрация единичная
12.08.11,Грибы,Кладоспориум,23,концентрация единичная
12.08.11,Грибы,Альтернария,11.5,концентрация единичная
11.08.11,Сорняки,Маревые,0.84,концентрация единичная
11.08.11,Сорняки,Крапива,0.84,концентрация единичная
11.08.11,Сорняки,Полынь,0.84,концентрация единичная
10.08.11,Сорняки,Полынь,4.2,концентрация единичная
10.08.11,Грибы,Кладоспориум,69,концентрация единичная
09.08.11,Сорняки,Полынь,5.04,концентрация единичная
08.08.11,Сорняки,Крапива,2.52,концентрация единичная
08.08.11,Сорняки,Полынь,18.48,концентрация низкая
08.08.11,Грибы,Кладоспориум,391,концентрация низкая
07.08.11,Сорняки,Крапива,3.36,концентрация единичная
07.08.11,Сорняки,Полынь,10.2,концентрация низкая
07.08.11,Грибы,Кладоспориум,207,концентрация низкая
06.08.11,Сорняки,Полынь,4.2,концентрация единичная
05.08.11,Сорняки,Крапива,0.84,концентрация единичная
05.08.11,Сорняки,Полынь,5.04,концентрация единичная
05.08.11,Грибы,Кладоспориум,23,концентрация единичная
05.08.11,Грибы,Альтернария,23,концентрация единичная
04.08.11,Сорняки,Полынь,5.04,концентрация единичная
04.08.11,Грибы,Кладоспориум,23,концентрация единичная
03.08.11,Сорняки,Крапива,0.84,концентрация единичная
03.08.11,Грибы,Альтернария,34.5,концентрация единичная
02.08.11,Сорняки,Крапива,3.36,концентрация единичная
02.08.11,Сорняки,Полынь,5.04,концентрация единичная
02.08.11,Грибы,Кладоспориум,368,концентрация низкая
01.08.11,Лиственные деревья,Береза,0.84,концентрация единичная
01.08.11,Сорняки,Крапива,5.04,концентрация единичная
01.08.11,Сорняки,Полынь,3.36,концентрация единичная
01.08.11,Грибы,Кладоспориум,1311,концентрация низкая
01.08.11,Грибы,Альтернария,11.5,концентрация единичная
31.07.11,Сорняки,Полынь,0.84,концентрация единичная
31.07.11,Грибы,Кладоспориум,92,концентрация единичная
30.07.11,Лиственные деревья,Ива,0.84,концентрация единичная
30.07.11,Сорняки,Крапива,0.84,концентрация единичная
30.07.11,Сорняки,Полынь,4.2,концентрация единичная
30.07.11,Грибы,Кладоспориум,11.5,концентрация единичная
29.07.11,Сорняки,Крапива,0.84,концентрация единичная
29.07.11,Сорняки,Полынь,4.2,концентрация единичная
29.07.11,Грибы,Кладоспориум,34.5,концентрация единичная
28.07.11,Лиственные деревья,Ольха,0.84,концентрация единичная
28.07.11,Сорняки,Крапива,1.68,концентрация единичная
28.07.11,Сорняки,Полынь,0.84,концентрация единичная
28.07.11,Грибы,Кладоспориум,115,концентрация единичная
28.07.11,Грибы,Альтернария,11.5,концентрация единичная
27.07.11,Сорняки,Крапива,3.36,концентрация единичная
27.07.11,Сорняки,Полынь,2.52,концентрация единичная
27.07.11,Грибы,Кладоспориум,252,концентрация низкая
27.07.11,Грибы,Альтернария,46,концентрация единичная
26.07.11,Сорняки,Крапива,3.36,концентрация единичная
26.07.11,Грибы,Кладоспориум,184,концентрация низкая
25.07.11,Сорняки,Крапива,2.52,концентрация единичная
25.07.11,Грибы,Кладоспориум,195.7,концентрация низкая
24.07.11,Сорняки,Крапива,5.4,концентрация единичная
24.07.11,Сорняки,Амброзия,0.84,концентрация единичная
24.07.11,Грибы,Кладоспориум,989,концентрация низкая
24.07.11,Грибы,Альтернария,23,концентрация единичная
23.07.11,Сорняки,Крапива,1.68,концентрация единичная
23.07.11,Грибы,Кладоспориум,299,концентрация низкая
23.07.11,Грибы,Альтернария,23,концентрация единичная
22.07.11,Хвойные деревья,Сосна,0.84,концентрация единичная
22.07.11,Злаки,Злаки,0.84,концентрация единичная
22.07.11,Сорняки,Крапива,6.72,концентрация низкая
22.07.11,Сорняки,Полынь,1.68,концентрация единичная
22.07.11,Грибы,Кладоспориум,805,концентрация низкая
22.07.11,Грибы,Альтернария,23,концентрация единичная
21.07.11,Сорняки,Крапива,1.68,концентрация единичная
21.07.11,Грибы,Кладоспориум,115,концентрация единичная
20.07.11,Лиственные деревья,Тополь,0.84,концентрация единичная
20.07.11,Злаки,Злаки,0.84,концентрация единичная
20.07.11,Сорняки,Крапива,3.36,концентрация единичная
20.07.11,Сорняки,Полынь,0.84,концентрация единичная
20.07.11,Грибы,Кладоспориум,851,концентрация низкая
19.07.11,Сорняки,Крапива,8.4,концентрация низкая
19.07.11,Сорняки,Полынь,0.84,концентрация единичная
19.07.11,Грибы,Кладоспориум,506,концентрация низкая
19.07.11,Грибы,Альтернария,11.5,концентрация единичная
18.07.11,Сорняки,Подорожник,0.84,концентрация единичная
18.07.11,Сорняки,Крапива,5.88,концентрация единичная
18.07.11,Сорняки,Полынь,0.84,концентрация единичная
18.07.11,Грибы,Кладоспориум,368,концентрация низкая
17.07.11,Хвойные деревья,Сосна,2.52,концентрация единичная
17.07.11,Злаки,Злаки,1.68,концентрация единичная
17.07.11,Сорняки,Маревые,0.84,концентрация единичная
17.07.11,Сорняки,Подорожник,0.84,концентрация единичная
17.07.11,Сорняки,Крапива,12.6,концентрация ниже средней
17.07.11,Грибы,Кладоспориум,851,концентрация низкая
17.07.11,Грибы,Альтернария,46,концентрация единичная
16.07.11,Сорняки,Крапива,4.2,концентрация единичная
16.07.11,Грибы,Кладоспориум,494.5,концентрация низкая
15.07.11,Сорняки,Крапива,0.84,концентрация единичная
15.07.11,Грибы,Кладоспориум,80.5,концентрация единичная
14.07.11,Хвойные деревья,Сосна,0.84,концентрация единичная
14.07.11,Злаки,Злаки,0.84,концентрация единичная
14.07.11,Сорняки,Подорожник,0.84,концентрация единичная
14.07.11,Сорняки,Крапива,4.2,концентрация единичная
14.07.11,Грибы,Кладоспориум,460,концентрация низкая
14.07.11,Грибы,Альтернария,23,концентрация единичная
13.07.11,Злаки,Злаки,0.84,концентрация единичная
13.07.11,Сорняки,Крапива,7.56,концентрация низкая
13.07.11,Грибы,Кладоспориум,977.5,концентрация низкая
13.07.11,Грибы,Альтернария,11.5,концентрация единичная
12.07.11,Хвойные деревья,Сосна,0.84,концентрация единичная
10.07.11,Хвойные деревья,Сосна,0.84,концентрация единичная
10.07.11,Грибы,Кладоспориум,11.5,концентрация единичная
09.07.11,Грибы,Кладоспориум,356.6,концентрация низкая
08.07.11,Хвойные деревья,Сосна,1.68,концентрация единичная
08.07.11,Сорняки,Маревые,1.68,концентрация единичная
08.07.11,Сорняки,Крапива,2.52,концентрация единичная
08.07.11,Грибы,Кладоспориум,333.5,концентрация низкая
07.07.11,Злаки,Злаки,0.84,концентрация единичная
07.07.11,Грибы,Кладоспориум,80.5,концентрация единичная
05.07.11,Лиственные деревья,Береза,0.84,концентрация единичная
05.07.11,Хвойные деревья,Сосна,1.68,концентрация единичная
05.07.11,Злаки,Злаки,2.52,концентрация единичная
05.07.11,Сорняки,Подорожник,1.68,концентрация единичная
05.07.11,Сорняки,Крапива,2.52,концентрация единичная
05.07.11,Грибы,Кладоспориум,609.5,концентрация низкая
03.07.11,Лиственные деревья,Ольха,0.84,концентрация единичная
03.07.11,Лиственные деревья,Береза,1.68,концентрация единичная
03.07.11,Хвойные деревья,Сосна,10.92,концентрация низкая
03.07.11,Злаки,Злаки,0.84,концентрация единичная
03.07.11,Сорняки,Подорожник,1.68,концентрация единичная
03.07.11,Сорняки,Крапива,1.68,концентрация единичная
