Дата,Группа аллергенов,Пыльца и споры,"Концентрация, ед/1 м3",Комментарий
11.06.12,Сорняки,Подорожник,10,концентрация пыльцы низкая
11.06.12,Сорняки,Крапива,29,концентрация пыльцы средняя
11.06.12,Грибы,Кладоспориум,535,спороношение слабое
11.06.12,Грибы,Альтернария,461,спороношение слабое
10.06.12,Лиственные деревья,Липа,25,концентрация пыльцы средняя
10.06.12,Злаки,Злаки,510,концентрация пыльцы очень высокая
10.06.12,Сорняки,Подорожник,12,концентрация пыльцы низкая
10.06.12,Сорняки,Крапива,23,концентрация пыльцы средняя
10.06.12,Грибы,Кладоспориум,534,спороношение слабое
10.06.12,Грибы,Альтернария,428,спороношение слабое
09.06.12,Лиственные деревья,Липа,21,концентрация пыльцы средняя
09.06.12,Злаки,Злаки,512,концентрация пыльцы очень высокая
09.06.12,Сорняки,Подорожник,8,концентрация пыльцы низкая
09.06.12,Сорняки,Крапива,25,концентрация пыльцы средняя
09.06.12,Грибы,Кладоспориум,520,спороношение низкое
09.06.12,Грибы,Альтернария,480,спороношение низкое
08.06.12,Лиственные деревья,Липа,15,концентрация пыльцы низкая
08.06.12,Злаки,Злаки,472,концентрация пыльцы высокая
08.06.12,Сорняки,Подорожник,5,концентрация пыльцы низкая
08.06.12,Сорняки,Крапива,20,концентрация пыльцы средняя
08.06.12,Грибы,Кладоспориум,650,спороношение слабое
08.06.12,Грибы,Альтернария,320,спороношение слабое
07.06.12,Лиственные деревья,Липа,23,концентрация пыльцы средняя
07.06.12,Злаки,Злаки,490,концентрация пыльцы очень высокая
07.06.12,Сорняки,Крапива,37,концентрация пыльцы средняя
07.06.12,Грибы,Кладоспориум,390,спороношение слабое
07.06.12,Грибы,Альтернария,280,спороношение слабое
06.06.12,Лиственные деревья,Липа,24,концентрация пыльцы средняя
06.06.12,Злаки,Злаки,510,концентрация пыльцы очень высокая
06.06.12,Сорняки,Крапива,38,концентрация пыльцы средняя
06.06.12,Грибы,Кладоспориум,410,спороношение слабое
06.06.12,Грибы,Альтернария,305,спороношение слабое
